arm,seed_ordinal,historical_seed,n2_seed,historical_validation_mse,n2_validation_mse,n2_minus_historical_mse,interpretation
F00,1,41001,61001,0.0007087000367391738,0.000678031357438158,-3.06686793010158e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F00,2,41002,61002,0.00040664718517291476,0.0006242853505682433,0.00021763816539532854,descriptive_cross_layer_drift_not_a_paired_population_effect
F00,3,41003,61003,0.0006834602834260295,0.00044012657235725783,-0.00024333371106877166,descriptive_cross_layer_drift_not_a_paired_population_effect
F00,4,41004,61004,0.000697468386761102,0.0004954068008373724,-0.00020206158592372958,descriptive_cross_layer_drift_not_a_paired_population_effect
F00,5,41005,61005,0.00039519994720649265,0.0005009310034438386,0.00010573105623734591,descriptive_cross_layer_drift_not_a_paired_population_effect
F00,6,41006,61006,0.0005273025999485981,0.0006925351731297269,0.00016523257318112883,descriptive_cross_layer_drift_not_a_paired_population_effect
F00,7,41007,61007,0.0006802166656143527,0.0006143417515431793,-6.587491407117341e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F00,8,41008,61008,0.000443265146941485,0.00045607952279169695,1.2814375850211945e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F00,9,41009,61009,0.0005110625934321433,0.0006992012240516488,0.00018813863061950542,descriptive_cross_layer_drift_not_a_paired_population_effect
F00,10,41010,61010,0.000497750855402046,0.0004881457216470153,-9.605133755030693e-06,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,1,41001,61001,0.0005782785942756163,0.0005286963464641303,-4.958224781148601e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,2,41002,61002,0.0004089064082108962,0.0004788653027389955,6.995889452809934e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,3,41003,61003,0.0005103499202050443,0.00045148473554945667,-5.8865184655587655e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,4,41004,61004,0.0006196603953867452,0.0004191081029603083,-0.0002005522924264369,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,5,41005,61005,0.0004038938866415265,0.00047280257149395766,6.890868485243118e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,6,41006,61006,0.00045398865199786087,0.0006428601086554409,0.00018887145665757998,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,7,41007,61007,0.00042154129914706573,0.0004536460592134972,3.210476006643148e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,8,41008,61008,0.00040914510191214504,0.0005016743043597671,9.252920244762208e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,9,41009,61009,0.00044794939140047063,0.0005048598859502818,5.691049454981112e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F01,10,41010,61010,0.000453008156910073,0.0004505549065925152,-2.4532503175578313e-06,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,1,41001,61001,0.000850967456244689,0.0006723931028318475,-0.00017857435341284145,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,2,41002,61002,0.0006578506372534321,0.0006164398373584845,-4.141079989494756e-05,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,3,41003,61003,0.0008061215921770781,0.0005090250633656979,-0.00029709652881138027,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,4,41004,61004,0.0008083411476036417,0.0004805244680028409,-0.00032781667960080085,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,5,41005,61005,0.0007019307518021378,0.000511945492689847,-0.0001899852591122908,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,6,41006,61006,0.0008254982958533219,0.0006742313858012494,-0.0001512669100520725,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,7,41007,61007,0.0006632327454099141,0.0005290071276249364,-0.00013422561778497766,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,8,41008,61008,0.0007295957148016896,0.00046554087475669803,-0.0002640548400449916,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,9,41009,61009,0.0007839338504709303,0.0006407639129974996,-0.00014316993747343076,descriptive_cross_layer_drift_not_a_paired_population_effect
F10,10,41010,61010,0.0007699219804635504,0.000538177161161002,-0.00023174481930254842,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,1,41001,61001,0.0006677406809103559,0.0004710013909061672,-0.00019673929000418866,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,2,41002,61002,0.0006393499534169678,0.0005103933917780523,-0.00012895656163891545,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,3,41003,61003,0.000664026817503327,0.0005077338473711279,-0.00015629297013219912,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,4,41004,61004,0.0006425589854188729,0.0005060968296675128,-0.00013646215575136011,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,5,41005,61005,0.0006411931972252205,0.0005124543858983088,-0.00012873881132691167,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,6,41006,61006,0.0007030340093479026,0.0005162404436305223,-0.00018679356571738026,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,7,41007,61007,0.0006187635294736538,0.0004711167389359616,-0.00014764679053769214,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,8,41008,61008,0.0006705936184516759,0.0005062723462287977,-0.00016432127222287818,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,9,41009,61009,0.0006565109679286252,0.0005169872815713461,-0.00013952368635727908,descriptive_cross_layer_drift_not_a_paired_population_effect
F11,10,41010,61010,0.0007056388958517346,0.000487048548166058,-0.00021859034768567653,descriptive_cross_layer_drift_not_a_paired_population_effect
