realization,selection_seed,subset_size_specimens,subset_images,specimen,nested_rank,material,subset_manifest,subset_manifest_sha256,material_counts_json,test_payload_accessed
R1,63001,14,448,1538_C_718_90_1cycle,1,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1399_C_sus_90_1cycle,2,SUS,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1388_C_sus_45_3cycle,3,SUS,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1456_C_718_0_1cycle,4,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1444_C_718_0_1cycle,5,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1441_C_718_0_1cycle,6,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1390_C_sus_45_3cycle,7,SUS,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1469_C_718_0_2cycle,8,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1501_C_718_45_1cycle,9,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1476_C_718_0_3cycle,10,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1392_C_sus_45_3cycle,11,SUS,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1461_C_718_0_2cycle,12,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,14,448,1473_C_718_0_3cycle,13,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
