proxy_lambda,seed,best_epoch,validation_mse,gpu_hours,array_sha256,checkpoint_sha256
0.0,66001,10,0.0006416267601707659,0.02636866686111413,63507494692f8c3a6caeded256e11db1e7b2b62da190a6230bc5ec724079acb3,d6fd7117d99e949c3f7333c842858df28a5c394855fc183f6ce186c1ac95a0ac
0.0,66002,10,0.0006441774439736037,0.0261407828611118,15c1c5ea14cf7c808b6c9a4cc1660b0e205f23f1633c372d1b4264e817a2ab6a,992f2afeea4756d926adc23661fa907bb91af6de2177985f39115d68b08848fb
0.0,66003,10,0.0005173625327188347,0.02655239905555694,8fd2d7231274a1b10cf96c168d51f67bd0d20fcec49be9f48a0f8b3c407b4305,5a5e3f00ad57df52cc7da41d0ea598e43abaf522f0010a2b2fa244481899f95c
0.00035,66001,10,0.0005896463962926646,0.02566873941666725,9eecd1f4dcc92814ed80eeef98aa4d8185ae1ae11359e213ee8dddb3e1e2be4b,d75f9ba15f6adef6802c01b934bfc96a5ccb5b62598c817423f714d22121b165
0.00035,66002,10,0.0005167604558664607,0.02538976777778266,18b012950caedfd4818d797b0668d3262c331319705f6e71dba47fa938ad2412,da4537f0b8ab5c2c28779874aa50192e35bf17c32ef37b88fca9452f90d97aa4
0.00035,66003,10,0.0004922462740069022,0.026035415527779455,60d413a205b85841e29e82729e4af6cfd90894ea5c03e8215608398d1e67a261,7932f94edebfc88a1a0f98fa3351920dc2bc803c33c03163264862310a1a2a04
0.0035,66001,10,0.0005668854209943675,0.025527087000001402,5ca6d7e155ef28a4f49de66ea7b242b56e40b64d09489c97ad7d5cb1de5eaccc,d8b435791c3498936da3dad1cb97e95e687390c9f1a14ab34cb10924c1642be5
0.0035,66002,10,0.0005031859554947005,0.02535184369444323,22b3462c628e61ef798f4d8d54a5b312377b44212bc3f077e755dc044a2a1212,4e2abf0c1398fc7c73b382296f5accd3e87a393ab93c19903c8b4e6ec113b1d2
0.0035,66003,10,0.0005068414325251069,0.02577775202778058,e0883aca4480ab0f3d715a3951103fce175c52f0d70d626a7b5fc8fa35b40e08,7cdc0db1970378a0ead5aca549fa3814a3284c2ef5bee0a0caeb9939a7b33cb1
0.01,66001,10,0.0006220429454515397,0.02525714888889019,eb43c3e7cef778ab02b7f741ea196c6c8b22d09c20ffe1e8a73d9f3340730d43,9ef717947b7377738f2ee0f42f52121de142dd393e7dd021eb2b709ab963272a
0.01,66002,10,0.0005437015806819545,0.025283000111109382,a27484e185dd6377cf0f77f74df9eaad4af7499d339ca870839d02ceac32f030,7e66930b6eee3ef791df9e086924cfb49358f19b4a0dcbc8f083ddd022b67801
0.01,66003,10,0.0005826625042573141,0.025199540444446028,f411700fadbe66d96d32ac2f399bf57b4a652e1a0cbda53b5f2c23b3a703b61d,28a9cb9f6f615b7ef8ade44d0dd2d5701abf716b7e760be7a70be92a8f3a944c
0.035,66001,8,0.0008129142961479374,0.025525243583332566,dd056e220d7b3af0ec6f75a738642970cf2a2465db8ceb731c81e7b2029b61f4,8e68a815892a77fd2e86ff3f2d7d6d65822e2c0dc11d096be389243caf46dce0
0.035,66002,10,0.0006508234155262471,0.025812496555550346,0e708601f20d5e9940e801ad810e7ef9085c5342bda172f5ab42db40598fc0d3,8bd85f6ac78ed7f27394f6511f3c7549f5b139fdc44456801a53a9e1f3665aec
0.035,66003,10,0.0007572241538582603,0.025072246888893358,51cdc26bcee604b76c1546ca004ab42bd789aa75dc785a5117327b942bb2a929,27eef9d2d776e8fa9f55eb81badc72b61792f5ee5a8863181b8e0deeaeac9883
0.1,66001,10,0.000982634122010495,0.023445132527776878,380a443c6e40969ce668b843f1dcce87122f74a8a2345ca5455d68b588aa261b,97d65066ae6cbe3fbc6b0ce275e497f518d05c932d19ad957894246fb593c0fb
0.1,66002,10,0.0007914580946817296,0.024069935861108307,101483f6ca830095354d051905b9fef227e61881d43301ac638bf117c42198ee,5111b229b545f7123d8a8d0568d639b5faabca01b20009af85a00d6434b2e91b
0.1,66003,10,0.0009461489271416212,0.023473693083336303,f6e5acc0ae113b00c2e6ffa16aec26b40e7650b059dabb75f29f6f7bb1bf0b08,139e7230c42090a28e7e83044f748a6adea4ef2f45ef8f32a3c60bd7c2f2b422
